text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
Migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"degenerative arthritis (osteoarthritis) in hand or fingers, left",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"knee strain or sprain, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee strain or sprain, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
anxiety condition,8989,Mental Disorders,8989,Mental Disorders,True
primary anemia,8981,Hemic and Lymphatic,8981,Hemic and Lymphatic,True
Traumatic Brain Injury,9020,Traumatic Brain Injury,9020,Traumatic Brain Injury,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
migraine,9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
High Blood Pressure,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"ankylosis in shoulder, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
neck sprain (cervical sprain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"hip impingement (femoroacetabular impingement or FAI), right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"hip impingement (femoroacetabular impingement or FAI), left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"spinal arthritis, back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
endometriosis,8978,Gynecological,8978,Gynecological,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
asthma,9012,Respiratory,9012,Respiratory,True
knee strain,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
"shoulder dislocation, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
"trigger finger, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
rhinitis,9012,Respiratory,9012,Respiratory,True
eczema,9016,Skin,9016,Skin,True
lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
shoulder,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
depression,8989,Mental Disorders,8989,Mental Disorders,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
coronary artery disease (CAD or arteriosclerotic heart disease),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
coronary artery disease (CAD or arteriosclerotic heart disease),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
prostate cancer,8935,Cancer - Genitourinary,8935,Cancer - Genitourinary,True
premature ventricular contractions,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"SLAP tear (superior labral anterior to posterior), left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"bursitis in elbow, bilateral",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
chronic laryngitis,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"dysphagia (difficulty swallowing), not associated with neurological disorder",8968,Digestive,8968,Digestive,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"hip condition, left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"foot condition, left",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
Musculoskeletal - Bones,249482,Musculoskeletal - Bones,249482,Musculoskeletal - Bones,True
"hernia, hiatal",8968,Digestive,8968,Digestive,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"plantar fasciitis, right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
hypothyroidism (underactive thyroid),8973,Endocrine,8973,Endocrine,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
Sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
"stress fracture in leg, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"ankylosis in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
female sexual arousal disorder fsad,8978,Gynecological,8978,Gynecological,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
urticaria,9016,Skin,9016,Skin,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"Hip condition, right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
illness anxiety disorder (hypochondria),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
tachycardia,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
Neck strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
eye,8974,Eye (Vision),8974,Eye (Vision),True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"carpal tunnel syndrome, right",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"carpal tunnel syndrome, left",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
deviated septum,9012,Respiratory,9012,Respiratory,True
cervical spinal stenosis (narrowing of spinal canal in neck),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
alopecia,9016,Skin,9016,Skin,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"radiculopathy, right upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"radiculopathy, left upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"intervertebral disc syndrome (IVDS), back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"intervertebral disc syndrome (IVDS), neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
cervical spinal stenosis (narrowing of spinal canal in neck),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
hemorrhoids,8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"patellofemoral pain syndrome, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"diabetes, type 1 or type 2",8973,Endocrine,8973,Endocrine,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
Hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"hammer toe, right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"hallux rigidus (big toe arthritis), right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"degenerative arthritis (osteoarthritis) in hip, right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"radiculopathy, bilateral upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
