Main condition/term,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Location options,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term updated,Term removed,Autosuggestion updated,Classification updated,Current Notes,Proposed update to DC to Classification mapping March 2024,Comments - v1.0 review,,lookup CC in DC mapping,CC matches CC used in DC to CC mapping,lookup DC code,lookup DC name,lookup DC code,lookup by name,lookup DC code,lookup DC name,,
tendonitis (tendinitis) in hand or fingers,tendonitis in hand,tendinitis in hand,tendonitis in fingers,tendinitis in fingers,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in hand or fingers, right","tendonitis (tendinitis) in hand or fingers, left","tendonitis (tendinitis) in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tenosynovitis in hand or fingers,tenosynovitis in hand,tenosynovitis in fingers,,,,,,,,,,"left, right, bilateral","tenosynovitis in hand or fingers, right","tenosynovitis in hand or fingers, left","tenosynovitis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
trigger finger,,,,,,,,,,,,"left, right, bilateral","trigger finger, right","trigger finger, left","trigger finger, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal - Hip,,,,,,,,,,,,"left, right, bilateral","hip condition, bilateral","hip condition, left","hip condition, right",,,,8996,Musculoskeletal - Hip,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ankylosis in hip,,,,,,,,,,,,"left, right, bilateral","ankylosis in hip, right","ankylosis in hip, left","ankylosis in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,5250,ankylosis of the hip,No Match,No Match,No Match,No Match,,Multiple
bursitis in hip,,,,,,,,,,,,"left, right, bilateral","bursitis in hip, right","bursitis in hip, left","bursitis in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
degenerative arthritis (osteoarthritis) in hip,degenerative arthritis in hip,osteoarthritis in hip,,,,,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in hip, right","degenerative arthritis (osteoarthritis) in hip, left","degenerative arthritis (osteoarthritis) in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
greater trochanteric pain syndrome (lateral hip pain),greater trochanteric pain syndrome,lateral hip pain,,,,,,,,,,"left, right, bilateral","greater trochanteric pain syndrome (lateral hip pain), right","greater trochanteric pain syndrome (lateral hip pain), left","greater trochanteric pain syndrome (lateral hip pain), bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
hip impingement (femoroacetabular impingement or FAI),hip impingement,femoroacetabular impingement,FAI,,,,,,,,,"left, right, bilateral","hip impingement (femoroacetabular impingement or FAI), right","hip impingement (femoroacetabular impingement or FAI), left","hip impingement (femoroacetabular impingement or FAI), bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
hip replacement (hip arthroplasty),hip replacement,hip arthroplasty,,,hip replacement,,,,,,,"left, right, bilateral","hip replacement (hip arthroplasty), right","hip replacement (hip arthroplasty), left","hip replacement (hip arthroplasty), bilateral",,,,8996,Musculoskeletal - Hip,5054,hip replacement,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,8996,yes,5054,hip replacement,No Match,No Match,No Match,No Match,,5054
hip sprain,,,,,,,,,,,,"left, right, bilateral","hip sprain, right","hip sprain, left","hip sprain, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
post-traumatic arthritis in hip,,,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in hip, right","post-traumatic arthritis in hip, left","post-traumatic arthritis in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendonitis (tendinitis) in hip,tendonitis in hip,tendinitis in hip,,,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in hip, right","tendonitis (tendinitis) in hip, left","tendonitis (tendinitis) in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal - Knee,,,,,,,,,,,,"left, right, bilateral","knee condition, bilateral","knee condition, left","knee condition, right",,,,8997,Musculoskeletal - Knee,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ACL tear (anterior cruciate ligament tear),ACL,ACL tear,anterior cruciate ligament tear,,ACL,ACL tear,anterior cruciate ligament tear,,,,,"left, right, bilateral","ACL tear (anterior cruciate ligament tear), right","ACL tear (anterior cruciate ligament tear), left","ACL tear (anterior cruciate ligament tear), bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,v1.0,Multiple
ankylosis in knee,,,,,,,,,,,,"left, right, bilateral","ankylosis in knee, right","ankylosis in knee, left","ankylosis in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,5256,ankylosis of the knee,No Match,No Match,No Match,No Match,,Multiple
bursitis in knee,,,,,,,,,,,,"left, right, bilateral","bursitis in knee, right","bursitis in knee, left","bursitis in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
degenerative arthritis (osteoarthritis) in knee,degenerative arthritis in knee,osteoarthritis in knee,,,degenerative arthritis in knee,osteoarthritis in knee,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in knee, right","degenerative arthritis (osteoarthritis) in knee, left","degenerative arthritis (osteoarthritis) in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
knee hyperextension (genu recurvatum),knee hyperextension,genu recurvatum,,,,,,,,,,"left, right, bilateral","knee hyperextension (genu recurvatum), right","knee hyperextension (genu recurvatum), left","knee hyperextension (genu recurvatum), bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,5263,genu recurvatum - knee condition,No Match,No Match,No Match,No Match,,Multiple
knee instability,,,,,,,,,,,,"left, right, bilateral","knee instability, right","knee instability, left","knee instability, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
knee or patellar dislocation,knee dislocation,patellar dislocation,,,,,,,,,,"left, right, bilateral","knee or patellar dislocation, right","knee or patellar dislocation, left","knee or patellar dislocation, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
knee or patellar fracture,knee fracture,patellar fracture,,,,,,,,,,"left, right, bilateral","knee or patellar fracture, right","knee or patellar fracture, left","knee or patellar fracture, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
knee replacement (knee arthroplasty),knee replacement,knee arthroplasty,,,knee replacement,,,,,,,"left, right, bilateral","knee replacement (knee arthroplasty), right","knee replacement (knee arthroplasty), left","knee replacement (knee arthroplasty), bilateral",,,,8997,Musculoskeletal - Knee,5055,knee replacement,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,8997,yes,5055,knee replacement,No Match,No Match,No Match,No Match,,5055
knee strain or sprain,knee strain,knee sprain,,,knee sprain,knee strain,,,,,,"left, right, bilateral","knee strain or sprain, right","knee strain or sprain, left","knee strain or sprain, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
meniscectomy (removal of meniscus),meniscectomy,removal of meniscus,,,,,,,,,,"left, right, bilateral","meniscectomy (removal of meniscus), right","meniscectomy (removal of meniscus), left","meniscectomy (removal of meniscus), bilateral",,,,8997,Musculoskeletal - Knee,5259,removal of semilunar cartilage - knee,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,8997,yes,5259,removal of semilunar cartilage - knee,No Match,No Match,No Match,No Match,,5259
meniscus tear,,,,,,,,,,,,"left, right, bilateral","meniscus tear, right","meniscus tear, left","meniscus tear, bilateral",,,,8997,Musculoskeletal - Knee,5258,dislocated semilunar cartilage - knee,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,8997,yes,5258,dislocated semilunar cartilage - knee,No Match,No Match,No Match,No Match,,5258
patellar or quadriceps tendon rupture,patellar tendon rupture,quadriceps tendon rupture,,,,,,,,,,"left, right, bilateral","patellar or quadriceps tendon rupture, right","patellar or quadriceps tendon rupture, left","patellar or quadriceps tendon rupture, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
patellofemoral pain syndrome,,,,,,,,,,,,"left, right, bilateral","patellofemoral pain syndrome, right","patellofemoral pain syndrome, left","patellofemoral pain syndrome, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
PCL tear (posterior cruciate ligament tear),PCL,PCL tear,posterior cruciate ligament tear,,,,,,,,,"left, right, bilateral","PCL tear (posterior cruciate ligament tear), right","PCL tear (posterior cruciate ligament tear), left","PCL tear (posterior cruciate ligament tear), bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
post-traumatic arthritis in knee,,,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in knee, right","post-traumatic arthritis in knee, left","post-traumatic arthritis in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
shin splints,,,,,,,,,,,,"left, right, bilateral","shin splints, right","shin splints, left","shin splints, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
stress fracture in leg,,,,,,,,,,,,"left, right, bilateral","stress fracture in leg, right","stress fracture in leg, left","stress fracture in leg, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendonitis (tendinitis) in knee,tendonitis in knee,tendinitis in knee,,,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in knee, right","tendonitis (tendinitis) in knee, left","tendonitis (tendinitis) in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tibia or fibula fracture,tibia fracture,fibula fracture,,,,,,,,,,"left, right, bilateral","tibia or fibula fracture, right","tibia or fibula fracture, left","tibia or fibula fracture, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,,,,,,,,,,,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"intervertebral disc syndrome (IVDS), back",intervertebral disc syndrome back,IVDS back,,,,,,,,,,,"intervertebral disc syndrome (IVDS), back",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5243,intervertebral disc syndrome,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,5243,intervertebral disc syndrome,No Match,No Match,No Match,No Match,,5243
lower back sprain (lumbosacral sprain),lower back sprain,lumbosacral sprain,,,low back sprain,,,,,,,,lower back sprain (lumbosacral sprain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,No Match,No Match,No Match,No Match,,5237
lower back strain (lumbosacral strain),lower back strain,lumbosacral strain,,,low back strain,lumbar strain,,,,,,,lower back strain (lumbosacral strain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,5237,lumbosacral or cervical strain,No Match,No Match,,5237
lumbar spinal stenosis (narrowing of spinal canal in lower back),lumbar spinal stenosis,narrowing of spinal canal in lower back,,,,,,,,,,,lumbar spinal stenosis (narrowing of spinal canal in lower back),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5238,spinal stenosis,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,5238,spinal stenosis,No Match,No Match,No Match,No Match,,5238
middle back sprain (thoracic sprain),middle back sprain,thoracic sprain,,,,,,,,,,,middle back sprain (thoracic sprain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,No Match,No Match,No Match,No Match,,5237
middle back strain (thoracic strain),middle back strain,thoracic strain,,,,,,,,,,,middle back strain (thoracic strain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,No Match,No Match,5237,lumbosacral or cervical strain,,5237
radiculopathy lower extremities,,,,,,,,,,,,"left, right, bilateral","radiculopathy, right lower extremities","radiculopathy, left lower extremities","radiculopathy, bilateral lower extremities",,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),Multiple,Peripheral Nerves DC Group,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,"Per DBQ Index, use NEURO Peripheral nerves conditions DBQ for CFI",,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
"spinal arthritis, back",,,,,,,,,,,,,"spinal arthritis, back",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5242,degenerative arthritis of the spine,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,5242,degenerative arthritis of the spine,No Match,No Match,No Match,No Match,,5242
"spondylolisthesis, back",,,,,,,,,,,,,"spondylolisthesis, back",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5239,spondylolisthesis or segmental instability,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,,,,,no,5239,spondylolisthesis or segmental instability,No Match,No Match,No Match,No Match,,5239
Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,,,,,,,,,,,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cervical spinal stenosis (narrowing of spinal canal in neck),cervical spinal stenosis,narrowing of spinal canal in neck,,,,,,,,,,,cervical spinal stenosis (narrowing of spinal canal in neck),,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5238,spinal stenosis,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,5238,spinal stenosis,No Match,No Match,,5238
"intervertebral disc syndrome (IVDS), neck",intervertebral disc syndrome neck,IVDS neck,,,,,,,,,,,"intervertebral disc syndrome (IVDS), neck",,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5243,intervertebral disc syndrome,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,5243,intervertebral disc syndrome,No Match,No Match,,5243
neck sprain (cervical sprain),neck sprain,cervical sprain,,,,,,,,,,,neck sprain (cervical sprain),,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5237,lumbosacral or cervical strain,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,No Match,No Match,No Match,No Match,,5237
neck strain (cervical strain),neck strain,cervical strain,,,cervical strain,,,,,,,,neck strain (cervical strain),,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5237,lumbosacral or cervical strain,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,,,,,no,5237,lumbosacral or cervical strain,No Match,No Match,No Match,No Match,,5237
radiculopathy upper extremities,,,,,,,,,,,,"left, right, bilateral","radiculopathy, right upper extremities","radiculopathy, left upper extremities","radiculopathy, bilateral upper extremities",,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),Multiple,Peripheral Nerves DC Group,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,"Per DBQ Index, use NEURO Peripheral nerves conditions DBQ for CFI",,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
"spinal arthritis, neck",,,,,,,,,,,,,"spinal arthritis, neck",,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5242,degenerative arthritis of the spine,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,5242,degenerative arthritis of the spine,No Match,No Match,,5242
"spondylolisthesis, neck",,,,,,,,,,,,,"spondylolisthesis, neck",,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5239,spondylolisthesis or segmental instability,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,,,,,no,No Match,No Match,5239,spondylolisthesis or segmental instability,No Match,No Match,,5239
osteomyelitis,,,,,Musculoskeletal - Osteomyelitis,,,,,,,,osteomyelitis,,,,,,9000,Musculoskeletal - Osteomyelitis,5000,osteomyelitis,DBQ MUSC Osteomyelitis,no,Active,Active,v1.0,,,,,,,,,9000,yes,5000,osteomyelitis,No Match,No Match,No Match,No Match,,5000
Musculoskeletal - Other,,,,,,,,,,,,,,,,,,,9001,Musculoskeletal - Other,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Musculoskeletal - Shoulder,,,,,clavicle,scapula,,,,,,"left, right, bilateral","shoulder condition, bilateral","shoulder condition, left","shoulder condition, right",,,,9002,Musculoskeletal - Shoulder,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
shoulder sprain,,,,,,,,,,,,,,,,,,,9002,Musculoskeletal - Shoulder,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ankylosis in shoulder,,,,,,,,,,,,"left, right, bilateral","ankylosis in shoulder, right","ankylosis in shoulder, left","ankylosis in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,5200,ankylosis of shoulder joint,No Match,No Match,No Match,No Match,,Multiple
bursitis in shoulder,,,,,,,,,,,,"left, right, bilateral","bursitis in shoulder, right","bursitis in shoulder, left","bursitis in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
degenerative arthritis (osteoarthritis) in shoulder,degenerative arthritis in shoulder,osteoarthritis in shoulder,,,,,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in shoulder, right","degenerative arthritis (osteoarthritis) in shoulder, left","degenerative arthritis (osteoarthritis) in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
post-traumatic arthritis in shoulder,,,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in shoulder, right","post-traumatic arthritis in shoulder, left","post-traumatic arthritis in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
rotator cuff tear,,,,,,,,,,,,"left, right, bilateral","rotator cuff tear, right","rotator cuff tear, left","rotator cuff tear, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
shoulder dislocation,,,,,,,,,,,,"left, right, bilateral","shoulder dislocation, right","shoulder dislocation, left","shoulder dislocation, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
shoulder impingement syndrome,,,,,,,,,,,,"left, right, bilateral","shoulder impingement syndrome, right","shoulder impingement syndrome, left","shoulder impingement syndrome, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
shoulder replacement (shoulder arthroplasty),shoulder replacement,shoulder arthroplasty,,,shoulder replacement,,,,,,,"left, right, bilateral","shoulder replacement (shoulder arthroplasty), right","shoulder replacement (shoulder arthroplasty), left","shoulder replacement (shoulder arthroplasty), bilateral",,,,9002,Musculoskeletal - Shoulder,5051,shoulder replacement,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,9002,yes,5051,shoulder replacement,No Match,No Match,No Match,No Match,,5051
shoulder strain,,,,,,,,,,,,"left, right, bilateral","shoulder strain, right","shoulder strain, left","shoulder strain, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
SLAP tear (superior labral anterior to posterior tear),SLAP tear,superior labral anterior to posterior tear,,,,,,,,,,"left, right, bilateral","SLAP tear (superior labral anterior to posterior tear), right","SLAP tear (superior labral anterior to posterior), left","SLAP tear (superior labral anterior to posterior tear), bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendonitis (tendinitis) in shoulder,tendonitis in shoulder,tendinitis in shoulder,,,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in shoulder, right","tendonitis (tendinitis) in shoulder, left","tendonitis (tendinitis) in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal - Toe Amputations,,,,,amputation - toe (toes),,,,,,,,,,,,,,9003,Musculoskeletal - Toe Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Musculoskeletal - Wrist,,,,,,,,,,,,"left, right, bilateral","wrist condition, bilateral","wrist condition, left","wrist condition, right",,,,9004,Musculoskeletal - Wrist,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
wrist strain,,,,,,,,,,,,,,,,,,,9004,Musculoskeletal - Wrist,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ankylosis in wrist,,,,,,,,,,,,"left, right, bilateral","ankylosis in wrist, right","ankylosis in wrist, left","ankylosis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,5214,ankylosis of wrist,No Match,No Match,No Match,No Match,,Multiple
bursitis in wrist,,,,,,,,,,,,"left, right, bilateral","bursitis in wrist, right","bursitis in wrist, left","bursitis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
